city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,abu dhabi,24.47,54.37,100.4,60,92,11.41,AE,1595256565
315,pevek,69.7,170.31,45.43,59,0,3.27,RU,1595256706
316,dumka,24.27,87.25,79.97,87,100,7.25,IN,1595256706
317,port elizabeth,-33.92,25.57,62.6,88,20,13.87,ZA,1595256706
318,mahon,39.89,4.27,80.6,65,20,8.05,ES,1595256707
319,esso,55.93,158.7,48.33,76,93,2.59,RU,1595256707
320,vila,42.03,-8.16,93.0,32,0,8.99,PT,1595256707
321,farah,32.5,62.5,93.88,10,0,22.77,AF,1595256707
322,derzhavinsk,51.1,66.32,82.83,32,57,3.78,KZ,1595256707
323,north bend,43.41,-124.22,57.0,100,90,5.82,US,1595256639
324,alugan,12.22,125.48,82.76,80,100,5.26,PH,1595256707
325,san patricio,19.22,-104.7,80.6,78,5,3.0,MX,1595256708
326,riverton,40.52,-111.94,80.01,27,1,1.95,US,1595256708
327,pangnirtung,66.15,-65.71,46.4,93,75,10.29,CA,1595256708
328,lorengau,-2.02,147.27,82.15,75,73,6.8,PG,1595256708
329,jalu,29.03,21.55,97.66,18,0,12.59,LY,1595256709
330,bandarbeyla,9.49,50.81,85.24,50,100,23.85,SO,1595256709
331,tarko-sale,64.92,77.78,61.9,59,18,12.24,RU,1595256709
332,aurillac,44.92,2.45,89.01,28,35,6.93,FR,1595256709
333,santa maria,-29.68,-53.81,77.05,63,99,8.43,BR,1595256591
334,trunovskoye,45.49,42.14,93.2,23,0,8.95,RU,1595256709
335,port blair,11.67,92.75,82.38,77,100,3.89,IN,1595256710
336,flin flon,54.77,-101.86,66.2,63,75,4.7,CA,1595256710
337,chicama,-7.84,-79.15,67.44,68,71,6.53,PE,1595256710
338,chute-aux-outardes,49.12,-68.4,73.4,83,1,18.34,CA,1595256710
339,maneadero,31.72,-116.57,66.0,92,1,1.01,MX,1595256711
340,weinan,34.5,109.51,82.99,58,100,6.71,CN,1595256711
341,severo-kurilsk,50.68,156.12,48.96,90,33,6.93,RU,1595256711
342,kavieng,-2.57,150.8,82.4,75,57,6.93,PG,1595256711
343,biltine,14.53,20.92,89.51,40,88,11.61,TD,1595256711
344,chapais,49.78,-74.85,57.2,87,90,12.75,CA,1595256712
345,jizan,17.33,42.67,93.2,52,40,18.34,SA,1595256712
346,bakonycsernye,47.32,18.08,86.0,42,7,6.93,HU,1595256713
347,chokurdakh,70.63,147.92,63.95,53,87,9.55,RU,1595256713
348,bialystok,53.13,23.15,82.99,43,24,5.91,PL,1595256713
349,andijon,40.78,72.34,82.4,26,75,11.18,UZ,1595256713
350,odoyev,53.94,36.69,69.3,79,39,6.71,RU,1595256713
351,jos,9.92,8.9,73.35,79,69,4.7,NG,1595256713
352,rocha,-34.48,-54.33,73.71,71,100,9.75,UY,1595256713
353,kralendijk,12.15,-68.27,86.0,74,62,17.22,BQ,1595256714
354,cabo san lucas,22.89,-109.91,87.01,45,20,8.84,MX,1595256714
355,tuy hoa,13.08,109.3,79.14,84,89,3.65,VN,1595256714
356,matay,28.42,30.78,103.6,14,0,13.29,EG,1595256714
357,staryy nadym,65.61,72.68,62.4,59,99,8.72,RU,1595256715
358,gwadar,25.12,62.33,84.85,83,12,19.35,PK,1595256715
359,richards bay,-28.78,32.04,70.23,54,0,10.49,ZA,1595256715
360,skeldon,5.88,-57.13,86.0,67,3,4.21,GY,1595256715
361,alappuzha,9.49,76.33,79.93,88,100,4.05,IN,1595256716
362,ryotsu,38.08,138.43,73.4,94,100,2.42,JP,1595256716
363,buta,2.79,24.73,80.6,75,91,1.92,CD,1595256716
364,yingkou,40.66,122.23,72.52,71,0,10.4,CN,1595256716
365,atar,20.52,-13.05,108.19,15,0,4.74,MR,1595256717
366,nasirabad,26.3,74.73,91.18,53,100,12.3,IN,1595256717
367,jonuta,18.08,-92.13,82.4,83,40,3.47,MX,1595256717
368,laguna,38.42,-121.42,61.0,80,27,4.0,US,1595256717
369,barra do corda,-5.5,-45.25,92.01,35,99,7.2,BR,1595256717
370,coihueco,-36.62,-71.83,55.0,100,75,10.29,CL,1595256718
371,nexo,55.06,15.13,66.2,72,56,14.99,DK,1595256718
372,koungou,-12.73,45.2,77.0,69,90,10.29,YT,1595256718
373,coquimbo,-29.95,-71.34,53.6,81,86,4.7,CL,1595256566
374,bijni,26.5,90.7,76.35,97,100,1.86,IN,1595256718
375,hokitika,-42.72,170.97,52.9,90,100,19.24,NZ,1595256718
376,hamilton,39.18,-84.53,84.0,69,1,3.36,US,1595256719
377,roma,43.21,-75.46,81.0,69,40,8.05,US,1595256719
378,formosa,-26.18,-58.18,82.4,37,47,16.11,AR,1595256719
379,limin khersonisou,35.32,25.39,86.0,58,0,9.17,GR,1595256719
380,port hardy,50.7,-127.42,51.8,100,75,2.24,CA,1595256707
381,kysyl-syr,63.9,122.76,67.53,89,100,5.35,RU,1595256720
382,menongue,-14.66,17.69,77.29,21,0,6.73,AO,1595256720
383,west lafayette,40.43,-86.91,78.01,83,1,3.36,US,1595256430
